DATAFLOW,LAST UPDATE,freq,unit,airpol,src_nfr,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,2004,9870,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,2005,9010,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,2006,9319,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,2007,9203,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,2008,8815,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,2009,8639,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,2010,8883,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,2011,8772,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,2012,8307,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,2013,7712,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,2014,7985,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,2015,6911,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,2016,7168,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,2017,7305,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,2018,7471,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,2019,7595,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,2020,7933,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,2021,7953,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,2022,7739,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,1990,152800,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,1991,140537,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,1992,124768,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,1993,110757,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,1994,100812,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,1995,96782,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,1996,99234,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,1997,96996,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,1998,93528,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,1999,91583,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,2000,88671,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,2001,88379,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,2002,88218,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,2003,85507,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,2004,82899,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,2005,83010,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,2006,81073,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,2007,81037,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,2008,79559,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,2009,75023,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,2010,73411,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,2011,75724,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,2012,76502,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,2013,79492,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,2014,83322,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,2015,90112,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,2016,93021,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,2017,89583,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,2018,85328,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,2019,82179,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,2020,80019,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,2021,79653,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CZ,2022,77948,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,DE,1990,734356,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,DE,1991,658562,
